State	< 5	5 -- 9	10 -- 15	16 -- 20	21 -- 24	25 -- 34	35 -- 44	45 -- 54	55 -- 64	65 -- 74	> 75	Unknown	Total
													
Alabama	6	12	23	164	131	176	175	160	112	79	69	3	1110
Alaska	2	0	4	12	13	7	12	17	9	3	3	0	82
Arizona	19	11	37	131	116	192	169	140	106	64	83	3	1071
Arkansas	7	7	17	93	68	96	87	101	81	43	47	2	649
California	73	58	105	460	507	700	556	604	367	257	306	2	3995
Colorado	3	13	21	55	60	96	85	86	62	30	43	0	554
Connecticut	2	2	6	47	34	40	41	49	24	17	33	1	296
Delaware	2	1	3	15	15	21	21	17	11	6	5	0	117
District of Columbia	1	2	0	3	4	12	5	6	4	4	3	0	44
Florida	33	35	69	390	356	537	490	514	302	187	284	16	3213
Georgia	19	16	40	226	166	308	256	225	176	99	103	7	1641
Hawaii	1	1	3	8	22	26	17	21	15	11	13	0	138
Idaho	7	5	13	30	28	43	28	32	19	20	27	0	252
Illinois	18	12	36	192	146	196	178	168	124	69	108	1	1248
Indiana	6	16	26	121	67	147	133	141	96	63	81	1	898
Iowa	6	5	29	52	45	55	58	75	40	23	57	1	446
Kansas	8	3	16	55	39	59	58	65	51	28	34	0	416
Kentucky	8	8	17	100	76	152	156	121	94	63	69	0	864
Louisiana	16	14	21	126	110	201	170	149	92	56	34	4	993
Maine	1	0	1	28	15	32	25	28	22	11	20	0	183
Maryland	4	4	20	82	79	108	106	93	59	28	31	0	614
Massachusetts	0	1	7	66	63	65	62	57	37	32	42	2	434
Michigan	10	10	37	154	96	150	147	154	124	75	130	0	1087
Minnesota	4	4	13	56	56	66	79	65	65	52	50	0	510
Mississippi	11	10	33	116	94	146	145	131	86	46	66	0	884
Missouri	15	11	23	148	95	133	145	158	108	67	89	0	992
Montana	1	2	7	34	32	36	45	56	31	21	12	0	277
Nebraska	3	5	8	50	25	30	32	35	17	18	33	0	256
Nevada	6	2	8	47	22	69	55	67	43	26	28	0	373
New Hampshire	0	4	4	15	14	18	21	16	16	11	10	0	129
New Jersey	12	8	19	87	75	103	102	106	69	57	86	0	724
New Mexico	5	9	10	52	49	74	55	67	37	23	27	5	413
New York	14	11	23	158	120	194	181	199	148	97	169	18	1332
North Carolina	15	16	32	204	182	319	255	249	163	115	121	5	1676
North Dakota	1	1	4	19	13	28	15	9	11	4	6	0	111
Ohio	16	14	22	157	131	226	195	175	132	68	119	0	1255
Oklahoma	8	19	19	100	80	129	114	112	85	46	54	0	766
Oregon	2	4	10	59	52	60	66	70	42	41	49	0	455
Pennsylvania	13	4	33	231	174	214	200	206	156	94	166	0	1491
Rhode Island	0	1	3	14	10	12	5	8	6	3	7	0	69
South Carolina	13	13	27	137	125	196	183	173	92	69	42	7	1077
South Dakota	1	3	4	17	17	20	23	21	16	7	17	0	146
Tennessee	14	10	29	168	117	188	179	197	128	95	85	1	1211
Texas	69	46	85	430	403	594	541	538	320	179	230	31	3466
Utah	8	7	7	46	37	43	37	43	29	16	18	8	299
Vermont	0	0	2	6	9	12	6	6	5	11	9	0	66
Virginia	8	14	23	136	135	175	131	149	95	71	87	3	1027
Washington	6	2	21	85	73	100	76	73	61	27	47	0	571
West Virginia	4	4	8	53	40	83	76	63	35	32	33	1	432
Wisconsin	4	14	18	113	96	117	98	115	74	42	65	0	756
Wyoming	5	0	4	20	17	26	20	23	24	4	7	0	150
USA	510	474	1050	5368	4549	6830	6115	6153	4121	2610	3357	122	41259
